user_id,city_clean,region,device_raw,device_brand,device_class,device_range,device_model_norm
3jXonZKXPAUIQ2g3X3x3voDJsEA2,debre tabor,amhara,itel A16 Plus,itel,budget,budget,itel a16 plus
VrF7aohoTWVp2V9wvtw3ra2sVDM2,debre tabor,amhara,itel A16 Plus,itel,budget,budget,itel a16 plus
uvnCctP9kAgmsRBjpzf1qCXeGFx2,hawassa,sidama,TECNO CA7,tecno,budget,budget,tecno ca7
b8HnZCfYxlOav98FbAsmvt5sqBy1,gondar,amhara,TECNO B1p,tecno,budget,budget,tecno b1p
RUim6C0ZkhZIPxrdgZV4IigrvIr2,other,other,SM-N971N,samsung,midrange,upper_midrange,sm-n971n
HhUD47snW6Zq1mHIGcCZSOHrUyI2,other,other,SM-A047F,samsung,midrange,midrange,sm-a047f
zNyTOsECCaZjGm1EYoZTZpiK2Eq1,addis ababa,addis ababa,SM-A135F,samsung,midrange,midrange,sm-a135f
SVlxXE5v7KXtCDc4aCshzE0YCJY2,adama,oromia,,other,budget,budget,
XpIaCeZRUgOq46kEQvIcuMB5M7r2,welkite,south ethiopia,Infinix X606C,infinix,budget,budget,infinix x606c
VrNkPGDkISMUL1J8xsgh6khwI2r1,kombolcha,amhara,220733SFG,xiaomi,midrange,upper_midrange,220733sfg
DijkBmmbr6YUhdJoLzU4lD3K7FP2,other,other,,other,budget,budget,
wyZMFJ31bZNxeH2zSBnPyW9WEev1,nekemte,oromia,SM-A155F,samsung,midrange,upper_midrange,sm-a155f
sbJDBEobpRcv6LYL6tr5CbQztI12,gilgel beles,benishangul-gumuz,Infinix X612,infinix,budget,budget,infinix x612
8SJqpKcGiCSHgZuuW8CdpMUTHdI2,hawassa,sidama,Infinix X662,infinix,budget,budget,infinix x662
Aq3SUDjHmIRWja8GwiSx9Dt5dhv2,adama,oromia,SM-A536E,samsung,midrange,upper_midrange,sm-a536e
nCoN82BoSqR9WubvrMdzISKuY8J3,bale robe,oromia,Infinix X657,infinix,budget,budget,infinix x657
wKSIhYELtPdgE7qDSCp8E4k1QzF2,other,other,SM-M145F,samsung,midrange,midrange,sm-m145f
,burayu,oromia,,other,budget,budget,
,addis ababa,addis ababa,,other,budget,budget,
OOMzQrX0lQciiaft9JYKZeBs8A52,other,other,SM-A057F,samsung,midrange,midrange,sm-a057f
UHe9Ghxx4QTjyHpkxyUU8H1f85c2,adama,oromia,G20 Pro,other,budget,budget,g20 pro
SF6nBsIrQfVSNDAKWnk1mjdhuwg2,other,other,SM-M045F,samsung,midrange,midrange,sm-m045f
0FL9Du0ZMUgDpmuGnznCHYrVEbs2,nekemte,oromia,Infinix X6516,infinix,budget,budget,infinix x6516
AWsBjuA9r0ZluY1sbwav21Q93tO2,addis ababa,addis ababa,,other,budget,budget,
hIhaCQK3n4Xmvw3Ts1HJp04PDMl2,bahir dar,amhara,ZTE 8050,zte,budget,budget,zte 8050
L2MxqiWh97QV16KXkrGOskFTbWI2,bahir dar,amhara,,other,budget,budget,
8PUPEt6x4UXTjLgrRutPpVEo2HE2,other,other,,other,budget,budget,
cNibjnF2tOfNGtlPK6gXPBDGeep2,other,other,ZTE Blade A31 Lite,zte,budget,budget,zte blade a31 lite
sfFSfAZLSPR8fOPTIviG4Hz6i1z2,other,other,ZTE Blade A35 Core,zte,budget,budget,zte blade a35 core
Uncf5CCoLVWMCQ3DQQl1Wma9foU2,other,other,,other,budget,budget,
WWJ8Z74MS2PGq7jHBqRhwI9KhSy1,addis ababa,addis ababa,TECNO BG6i,tecno,budget,budget,tecno bg6i
Gef6BaQvHQQnm1rc2jdc68PuSQC2,other,other,SM-E135F,samsung,midrange,midrange,sm-e135f
wjaeEIKBgQgbA3Ntr9FO2vdzh9Q2,adama,oromia,SM-A346E,samsung,midrange,upper_midrange,sm-a346e
KLPiLYksHxQLoAzfry3PbsadFll2,addis ababa,addis ababa,SM-S918B,samsung,midrange,upper_midrange,sm-s918b
PGqqmfcJUBah4OBwBmidTypukXu2,other,other,SM-A505U,samsung,midrange,upper_midrange,sm-a505u
YfZuAKS1cxTCyjRM7dHWseG7pvc2,other,other,SM-A065F,samsung,midrange,midrange,sm-a065f
nlgdrj9GW7eUGtZCIZSuYJvwci12,other,other,SM-M135FU,samsung,midrange,midrange,sm-m135fu
OPzM88hSgWR7fdxPREQsgz020W23,adama,oromia,,other,budget,budget,
WK48ySa9GAXygU0mSRBE6U3SwUM2,addis ababa,addis ababa,SM-A042F,samsung,midrange,midrange,sm-a042f
FdS372jFclej2c6s5gCBM0gdIXv2,other,other,SM-A042F,samsung,midrange,midrange,sm-a042f
qPZiuzDawYgo7ZDWXswtdVMX7vD2,bahir dar,amhara,,other,budget,budget,
